Acera,Acer
Adeline,Ada
Adelaide,Addie
Agatha,Agnes
Agnes,Senga
Nancy,Nanny
Inez,Agnes
Alan,Al
Albert,Bertie
Alexander,Xander
Alfred,Alf
Allen,Al
Alfons,Fonzo
Amanda,Mandy
Amelia,Millie
Andreas,Andy
Andrew,Drew
Angela,Angie
Angeline,Angie
Deanne,Dee
Hannah,Nana
Susanna,Susan
Ann,Nina
Anna,Nancy
Annika,Anni
Antonin,Anton
Anastasia,Stasi
Apollonia,Appy
Archibald,Archy
Arnold,Arny
Artemis,Art
Arthur,Arty
Barbara,Barb
Mary,Polly
Barnabas,Barney
Bartholomew,Barty
Sebastian,Seby
Beatta,Bea
Beatrice,Trixie
Rebecca,Reba
Isabell,Bell
Isabella,Tibbie
Arabella,Bella
Belinda,Bella
Elizabeth,Tess
Isabel,Bella
Mirabel,Mira
Mabel,Belle
Sybil,Belle
Benedict,Ben
Benjamin,Ben
Ebenezer,Ben
Giuseppe,Peppe
Delbert,Bert
Josefa,Pepa
Josef,Yost
Bernice,Bern
Egbert,Burt
Gilbert,Bertie
Alberto,Beto
Beverly,Bev
Obedience,Biddy
William,Willy
Robert,Rob
Brooklyn,Brook
Jack,Bud
Burton,Burt
Caleb,Cal
Calvin,Cal
Caroline,Carol
Casalena,Cassie
Cassandra,Cassie
Catherine,Kitty
Cecilia,Sissy
Charles,Chuck
Cheryl,Cheri
Geraldine,Cherie
Chester,Chet
Christian,Chris
Christine,Tina
Crystal,Chris
Cynthia,Cyndi
Lucinda,Lucy
Clarissa,Cissy
Nicholas,Nick
Cleatus,Cleat
Clement,Clem
Clementine,Clem
Clifford,Cliff
Clifton,Cliff
Chloe,Clo
Constance,Connie
Conrad,Connie
Cornelia,Nelly
Corinne,Ora
Courtney,Corky
Cornelius,Neil
Lucretia,Creasey
Christina,Xina
Cyrus,Si
Margaret,Rita
Thomas,Tom
Daniel,Danny
David,Davy
Deborah,Debby
Debra,Debbie
Diedre,Deedee
Bridget,Delia
Cordelia,Delia
Fidelia,Delia
Delilah,Lila
Drucilla,Della
Druzilla,Della
Frederick,Rick
Duane,Dewey
